ID;NrGminy;NrPowiatu;Wojewodztwo;Nazwa
1;1;01;02;Bolesławiec
2;2;01;02;Bolesławiec
3;2;01;02;Gromadka
4;3;01;02;Nowogrodziec
5;2;01;02;Osiecznica
6;2;01;02;Warta Bolesławiecka
7;1;02;02;Bielawa
8;1;02;02;Dzierżoniów
9;3;02;02;Pieszyce
10;1;02;02;Piława Górna
11;2;02;02;Dzierżoniów
12;2;02;02;Łagiewniki
13;3;02;02;Niemcza
14;1;03;02;Głogów
15;2;03;02;Głogów
16;2;03;02;Jerzmanowa
17;2;03;02;Kotla
18;2;03;02;Pęcław
19;2;03;02;Żukowice
20;3;04;02;Góra
21;2;04;02;Jemielno
22;2;04;02;Niechlów
23;3;04;02;Wąsosz
24;1;05;02;Jawor
25;3;05;02;Bolków
26;2;05;02;Męcinka
27;2;05;02;Mściwojów
28;2;05;02;Paszowice
29;2;05;02;Wądroże Wielkie
30;1;06;02;Karpacz
31;1;06;02;Kowary
32;1;06;02;Piechowice
33;1;06;02;Szklarska Poręba
34;2;06;02;Janowice Wielkie
35;2;06;02;Jeżów Sudecki
36;2;06;02;Mysłakowice
37;2;06;02;Podgórzyn
38;2;06;02;Stara Kamienica
39;1;07;02;Kamienna Góra
40;2;07;02;Kamienna Góra
41;3;07;02;Lubawka
42;2;07;02;Marciszów
43;1;08;02;Duszniki-Zdrój
44;1;08;02;Kłodzko
45;1;08;02;Kudowa-Zdrój
46;1;08;02;Nowa Ruda
47;1;08;02;Polanica-Zdrój
48;3;08;02;Bystrzyca Kłodzka
49;2;08;02;Kłodzko
50;3;08;02;Lądek-Zdrój
51;2;08;02;Lewin Kłodzki
52;3;08;02;Międzylesie
53;2;08;02;Nowa Ruda
54;3;08;02;Radków
55;3;08;02;Stronie Śląskie
56;3;08;02;Szczytna
57;1;09;02;Chojnów
58;2;09;02;Chojnów
59;2;09;02;Krotoszyce
60;2;09;02;Kunice
61;2;09;02;Legnickie Pole
62;2;09;02;Miłkowice
63;3;09;02;Prochowice
64;2;09;02;Ruja
65;1;10;02;Lubań
66;1;10;02;Świeradów-Zdrój
67;3;10;02;Leśna
68;2;10;02;Lubań
69;3;10;02;Olszyna
70;2;10;02;Platerówka
71;2;10;02;Siekierczyn
72;1;11;02;Lubin
73;2;11;02;Lubin
74;2;11;02;Rudna
75;3;11;02;Ścinawa
76;3;12;02;Gryfów Śląski
77;3;12;02;Lubomierz
78;3;12;02;Lwówek Śląski
79;3;12;02;Mirsk
80;3;12;02;Wleń
81;2;13;02;Cieszków
82;2;13;02;Krośnice
83;3;13;02;Milicz
84;1;14;02;Oleśnica
85;3;14;02;Bierutów
86;2;14;02;Dobroszyce
87;2;14;02;Dziadowa Kłoda
88;3;14;02;Międzybórz
89;2;14;02;Oleśnica
90;3;14;02;Syców
91;3;14;02;Twardogóra
92;1;15;02;Oława
93;2;15;02;Domaniów
94;3;15;02;Jelcz-Laskowice
95;2;15;02;Oława
96;3;16;02;Chocianów
97;2;16;02;Gaworzyce
98;2;16;02;Grębocice
99;3;16;02;Polkowice
100;3;16;02;Przemków
101;2;16;02;Radwanice
102;2;17;02;Borów
103;2;17;02;Kondratowice
104;2;17;02;Przeworno
105;3;17;02;Strzelin
106;3;17;02;Wiązów
107;2;18;02;Kostomłoty
108;2;18;02;Malczyce
109;2;18;02;Miękinia
110;3;18;02;Środa Śląska
111;2;18;02;Udanin
112;1;19;02;Świdnica
113;1;19;02;Świebodzice
114;2;19;02;Dobromierz
115;3;19;02;Jaworzyna Śląska
116;2;19;02;Marcinowice
117;3;19;02;Strzegom
118;2;19;02;Świdnica
119;3;19;02;Żarów
120;3;20;02;Oborniki Śląskie
121;3;20;02;Prusice
122;3;20;02;Trzebnica
123;2;20;02;Wisznia Mała
124;2;20;02;Zawonia
125;3;20;02;Żmigród
126;1;21;02;Boguszów-Gorce
127;1;21;02;Jedlina-Zdrój
128;1;21;02;Szczawno-Zdrój
129;2;21;02;Czarny Bór
130;3;21;02;Głuszyca
131;3;21;02;Mieroszów
132;2;21;02;Stare Bogaczowice
133;2;21;02;Walim
134;3;22;02;Brzeg Dolny
135;2;22;02;Wińsko
136;3;22;02;Wołów
137;2;23;02;Czernica
138;2;23;02;Długołęka
139;2;23;02;Jordanów Śląski
140;3;23;02;Kąty Wrocławskie
141;2;23;02;Kobierzyce
142;2;23;02;Mietków
143;3;23;02;Sobótka
144;3;23;02;Siechnice
145;2;23;02;Żórawina
146;3;24;02;Bardo
147;2;24;02;Ciepłowody
148;2;24;02;Kamieniec Ząbkowicki
149;2;24;02;Stoszowice
150;3;24;02;Ząbkowice Śląskie
151;3;24;02;Ziębice
152;3;24;02;Złoty Stok
153;1;25;02;Zawidów
154;1;25;02;Zgorzelec
155;3;25;02;Bogatynia
156;3;25;02;Pieńsk
157;2;25;02;Sulików
158;3;25;02;Węgliniec
159;2;25;02;Zgorzelec
160;1;26;02;Wojcieszów
161;1;26;02;Złotoryja
162;2;26;02;Pielgrzymka
163;3;26;02;Świerzawa
